enclave_setup_time,tf_time,enclave_time,teardown_time,combined_enclave_time,native_time,enclave_label,native_label,layers_in_enclave,correct_label
0.0,0.09081292152404785,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.0917363166809082,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.09110355377197266,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.09161782264709473,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.09236025810241699,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.09238243103027344,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.09159135818481445,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.09293651580810547,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.0925300121307373,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.09199738502502441,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.09166789054870605,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.09173107147216797,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.09189867973327637,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.09107041358947754,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.09193229675292969,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.09198307991027832,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.09224224090576172,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.09157991409301758,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.09210968017578125,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.0920865535736084,0.0,0.0,0.0,0.0,-1,-1,0,1
0.7695307731628418,0.0906836986541748,0.001032114028930664,0.019801616668701172,0.7903645038604736,5.364418029785156e-05,1,1,1,1
0.7657508850097656,0.09139108657836914,0.0009877681732177734,0.019297361373901367,0.7860360145568848,5.054473876953125e-05,1,1,1,1
0.7903780937194824,0.09238624572753906,0.001028299331665039,0.019550561904907227,0.8109569549560547,5.316734313964844e-05,1,1,1,1
0.7756392955780029,0.09119057655334473,0.00098419189453125,0.019495010375976562,0.7961184978485107,5.269050598144531e-05,1,1,1,1
0.7668216228485107,0.09188055992126465,0.0009882450103759766,0.01937723159790039,0.7871870994567871,5.1975250244140625e-05,1,1,1,1
0.7855691909790039,0.09150099754333496,0.0010399818420410156,0.019339323043823242,0.8059484958648682,4.863739013671875e-05,1,1,1,1
0.7811708450317383,0.09085226058959961,0.0010020732879638672,0.019739389419555664,0.8019123077392578,5.269050598144531e-05,1,1,1,1
0.7898390293121338,0.09046196937561035,0.001024007797241211,0.01956629753112793,0.8104293346405029,4.863739013671875e-05,1,1,1,1
0.7748184204101562,0.09134459495544434,0.0010149478912353516,0.01930713653564453,0.7951405048370361,4.982948303222656e-05,1,1,1,1
0.7903432846069336,0.09149622917175293,0.0010061264038085938,0.019521713256835938,0.8108711242675781,4.744529724121094e-05,1,1,1,1
0.7694766521453857,0.09151983261108398,0.0009984970092773438,0.019282102584838867,0.789757251739502,5.364418029785156e-05,1,1,1,1
0.7682909965515137,0.09102225303649902,0.0009932518005371094,0.01934194564819336,0.7886261940002441,5.078315734863281e-05,1,1,1,1
0.7865269184112549,0.09156680107116699,0.0010223388671875,0.019651174545288086,0.8072004318237305,4.982948303222656e-05,1,1,1,1
0.7767322063446045,0.09177136421203613,0.0009751319885253906,0.01952362060546875,0.7972309589385986,5.316734313964844e-05,1,1,1,1
0.7610998153686523,0.09259915351867676,0.001071929931640625,0.019457101821899414,0.7816288471221924,5.078315734863281e-05,1,1,1,1
0.7794399261474609,0.0914011001586914,0.0010213851928710938,0.0196685791015625,0.8001298904418945,5.7220458984375e-05,1,1,1,1
0.7854251861572266,0.09226727485656738,0.001024484634399414,0.019324064254760742,0.8057737350463867,4.935264587402344e-05,1,1,1,1
0.7657554149627686,0.09092092514038086,0.0010044574737548828,0.019489765167236328,0.7862496376037598,4.935264587402344e-05,1,1,1,1
0.7742044925689697,0.09183478355407715,0.001001596450805664,0.019666194915771484,0.7948722839355469,4.8160552978515625e-05,1,1,1,1
0.7850112915039062,0.09111595153808594,0.0010426044464111328,0.01987767219543457,0.805931568145752,5.7697296142578125e-05,1,1,1,1
0.7918236255645752,0.09201717376708984,0.03606605529785156,0.019526004791259766,0.8474156856536865,0.0020797252655029297,1,1,2,1
0.7793362140655518,0.09231853485107422,0.03571009635925293,0.019512414932250977,0.8345587253570557,0.002061128616333008,1,1,2,1
0.771620512008667,0.09115719795227051,0.03563737869262695,0.019639968872070312,0.8268978595733643,0.002084970474243164,1,1,2,1
0.78340744972229,0.09081912040710449,0.035874366760253906,0.019402503967285156,0.8386843204498291,0.002110719680786133,1,1,2,1
0.7826583385467529,0.09221291542053223,0.03590655326843262,0.019394874572753906,0.8379597663879395,0.0020542144775390625,1,1,2,1
0.7839977741241455,0.09259819984436035,0.036035776138305664,0.01944732666015625,0.8394808769226074,0.0022127628326416016,1,1,2,1
0.7818803787231445,0.0904393196105957,0.035677433013916016,0.019246578216552734,0.8368043899536133,0.0020821094512939453,1,1,2,1
0.7663838863372803,0.0907292366027832,0.035893917083740234,0.01955270767211914,0.8218305110931396,0.002057790756225586,1,1,2,1
0.7871549129486084,0.09134387969970703,0.03584694862365723,0.019507408142089844,0.8425092697143555,0.00208282470703125,1,1,2,1
0.7864129543304443,0.09116578102111816,0.03607940673828125,0.0196685791015625,0.8421609401702881,0.0021016597747802734,1,1,2,1
