enclave_setup_time,tf_time,enclave_time,teardown_time,combined_enclave_time,native_time,enclave_label,native_label,layers_in_enclave,correct_label
0.0,1.2311644554138184,0.0,0.0,0.0,0.0,-1,-1,0,6
0.0,1.234222412109375,0.0,0.0,0.0,0.0,-1,-1,0,6
0.0,1.2165286540985107,0.0,0.0,0.0,0.0,-1,-1,0,6
0.0,1.245659351348877,0.0,0.0,0.0,0.0,-1,-1,0,6
0.0,1.2323229312896729,0.0,0.0,0.0,0.0,-1,-1,0,6
0.0,1.245410680770874,0.0,0.0,0.0,0.0,-1,-1,0,6
0.0,1.2389848232269287,0.0,0.0,0.0,0.0,-1,-1,0,6
0.0,1.2375621795654297,0.0,0.0,0.0,0.0,-1,-1,0,6
0.0,1.2235729694366455,0.0,0.0,0.0,0.0,-1,-1,0,6
0.0,1.2307453155517578,0.0,0.0,0.0,0.0,-1,-1,0,6
0.0,1.243678331375122,0.0,0.0,0.0,0.0,-1,-1,0,6
0.0,1.2251043319702148,0.0,0.0,0.0,0.0,-1,-1,0,6
0.0,1.2322733402252197,0.0,0.0,0.0,0.0,-1,-1,0,6
0.0,1.2280328273773193,0.0,0.0,0.0,0.0,-1,-1,0,6
0.0,1.2307536602020264,0.0,0.0,0.0,0.0,-1,-1,0,6
0.0,1.2458479404449463,0.0,0.0,0.0,0.0,-1,-1,0,6
0.0,1.230132818222046,0.0,0.0,0.0,0.0,-1,-1,0,6
0.0,1.241361141204834,0.0,0.0,0.0,0.0,-1,-1,0,6
0.0,1.2321655750274658,0.0,0.0,0.0,0.0,-1,-1,0,6
0.0,1.2364532947540283,0.0,0.0,0.0,0.0,-1,-1,0,6
