enclave_setup_time,tf_time,enclave_time,teardown_time,combined_enclave_time,native_time,enclave_label,native_label,layers_in_enclave
0.0,0.8044416904449463,0.0,0.0,0.0,0.0,-1,-1,0
0.0,0.7931325435638428,0.0,0.0,0.0,0.0,-1,-1,0
0.0,0.7897782325744629,0.0,0.0,0.0,0.0,-1,-1,0
0.0,0.7915077209472656,0.0,0.0,0.0,0.0,-1,-1,0
0.0,0.7896852493286133,0.0,0.0,0.0,0.0,-1,-1,0
0.7706000804901123,0.7942254543304443,0.0009412765502929688,0.019093990325927734,0.790635347366333,6.67572021484375e-05,4,4,1
0.7847349643707275,0.8014669418334961,0.0010025501251220703,0.019040584564208984,0.8047780990600586,6.532669067382812e-05,4,4,1
0.7762553691864014,0.7873437404632568,0.0009164810180664062,0.019101619720458984,0.7962734699249268,4.315376281738281e-05,4,4,1
0.7743740081787109,0.8026201725006104,0.0009062290191650391,0.019145965576171875,0.7944262027740479,6.771087646484375e-05,4,4,1
0.7848155498504639,0.7975103855133057,0.0009334087371826172,0.01934647560119629,0.8050954341888428,6.961822509765625e-05,4,4,1
0.7811591625213623,0.7922780513763428,0.000934600830078125,0.01903390884399414,0.8011276721954346,6.604194641113281e-05,4,4,2
0.7692053318023682,0.7905378341674805,0.0008895397186279297,0.01912522315979004,0.7892200946807861,6.389617919921875e-05,4,4,2
0.7741022109985352,0.7954208850860596,0.0009102821350097656,0.019168853759765625,0.7941813468933105,6.532669067382812e-05,4,4,2
0.7756526470184326,0.7971088886260986,0.0008978843688964844,0.019037485122680664,0.7955880165100098,7.104873657226562e-05,4,4,2
0.7834556102752686,0.7920730113983154,0.0010218620300292969,0.019225597381591797,0.8037030696868896,7.295608520507812e-05,4,4,2
0.7730910778045654,0.7986948490142822,0.0009620189666748047,0.019440412521362305,0.7934935092926025,8.869171142578125e-05,4,4,3
0.7714152336120605,0.7936055660247803,0.0009698867797851562,0.019209623336791992,0.7915947437286377,8.320808410644531e-05,4,4,3
0.7768175601959229,0.7984092235565186,0.0009605884552001953,0.01933455467224121,0.7971127033233643,9.059906005859375e-05,4,4,3
0.7727999687194824,0.7994704246520996,0.0010228157043457031,0.019048213958740234,0.7928709983825684,9.131431579589844e-05,4,4,3
0.769242525100708,0.7957231998443604,0.0009465217590332031,0.018985986709594727,0.7891750335693359,7.963180541992188e-05,4,4,3
0.7781155109405518,0.7856342792510986,0.006666421890258789,0.019212007522583008,0.8039939403533936,0.0027816295623779297,4,4,4
0.7789895534515381,0.7973060607910156,0.006665945053100586,0.01926136016845703,0.8049168586730957,0.0027468204498291016,4,4,4
0.7757182121276855,0.7942085266113281,0.006765842437744141,0.01938176155090332,0.801865816116333,0.00270843505859375,4,4,4
0.7812960147857666,0.7918376922607422,0.0066776275634765625,0.019220829010009766,0.8071944713592529,0.002819061279296875,4,4,4
0.7698698043823242,0.792665958404541,0.0066967010498046875,0.01928997039794922,0.7958564758300781,0.002765655517578125,4,4,4
0.7778487205505371,0.7908227443695068,0.009390115737915039,0.01933884620666504,0.8065776824951172,0.004072427749633789,4,4,5
0.7858452796936035,0.790475606918335,0.009359359741210938,0.019318580627441406,0.8145232200622559,0.004062175750732422,4,4,5
0.7747085094451904,0.7914729118347168,0.009337663650512695,0.01947617530822754,0.8035223484039307,0.004068613052368164,4,4,5
0.7757875919342041,0.7916479110717773,0.009369611740112305,0.019489049911499023,0.8046462535858154,0.004127979278564453,4,4,5
0.7740123271942139,0.7966077327728271,0.009358882904052734,0.019382238388061523,0.8027534484863281,0.004089832305908203,4,4,5
0.7800593376159668,0.12958526611328125,0.009393453598022461,0.019200801849365234,0.8086535930633545,0.004132270812988281,4,4,6
0.7831041812896729,0.1290266513824463,0.009543180465698242,0.01945638656616211,0.8121037483215332,0.004065990447998047,4,4,6
0.7844908237457275,0.12802672386169434,0.00976705551147461,0.019576072692871094,0.8138339519500732,0.0040740966796875,4,4,6
0.7786884307861328,0.13021516799926758,0.009376764297485352,0.019250154495239258,0.8073153495788574,0.004092693328857422,4,4,6
0.7745480537414551,0.12937116622924805,0.009403228759765625,0.019390583038330078,0.8033418655395508,0.00413060188293457,4,4,6
0.790283203125,0.12675261497497559,0.01311802864074707,0.019338130950927734,0.8227393627166748,0.006079673767089844,4,4,7
0.7737729549407959,0.12675189971923828,0.0131378173828125,0.019253015518188477,0.8061637878417969,0.00613093376159668,4,4,7
0.792517900466919,0.1300373077392578,0.013051986694335938,0.019605159759521484,0.8251750469207764,0.006020069122314453,4,4,7
0.7751121520996094,0.1270134449005127,0.013303756713867188,0.01933574676513672,0.8077516555786133,0.006090641021728516,4,4,7
0.7914524078369141,0.12965607643127441,0.013110876083374023,0.019530534744262695,0.8240938186645508,0.006469249725341797,4,4,7
0.7767937183380127,0.006032705307006836,0.024628162384033203,0.019268274307250977,0.8206901550292969,0.01242518424987793,4,4,8
0.7837114334106445,0.0059926509857177734,0.02457737922668457,0.019364595413208008,0.8276534080505371,0.012430667877197266,4,4,8
0.777714729309082,0.00612330436706543,0.024685144424438477,0.019531965255737305,0.8219318389892578,0.012428998947143555,4,4,8
0.7716271877288818,0.006103992462158203,0.024770021438598633,0.019366979598999023,0.8157641887664795,0.012514829635620117,4,4,8
0.7686336040496826,0.0059528350830078125,0.02461409568786621,0.019205331802368164,0.812453031539917,0.012564420700073242,4,4,8
0.7767970561981201,0.005853891372680664,0.02472090721130371,0.01926898956298828,0.8207869529724121,0.012419939041137695,4,4,9
