enclave_setup_time,tf_time,enclave_time,teardown_time,combined_enclave_time,native_time,enclave_label,native_label,layers_in_enclave
0.0,0.12553858757019043,0.0,0.0,0.0,0.0,-1,-1,0
0.0,0.12126302719116211,0.0,0.0,0.0,0.0,-1,-1,0
0.0,0.12339663505554199,0.0,0.0,0.0,0.0,-1,-1,0
0.0,0.12444734573364258,0.0,0.0,0.0,0.0,-1,-1,0
0.0,0.12288403511047363,0.0,0.0,0.0,0.0,-1,-1,0
0.7939803600311279,0.12366580963134766,0.0008862018585205078,0.01938796043395996,0.8142545223236084,6.389617919921875e-05,0,0,1
0.7926440238952637,0.12331652641296387,0.000885009765625,0.01934194564819336,0.812870979309082,6.67572021484375e-05,0,0,1
0.7914111614227295,0.12459778785705566,0.0009307861328125,0.019230365753173828,0.8115723133087158,6.580352783203125e-05,0,0,1
0.7977628707885742,0.12234807014465332,0.0008625984191894531,0.019542455673217773,0.8181679248809814,6.580352783203125e-05,0,0,1
0.7795515060424805,0.14405250549316406,0.0008776187896728516,0.019376277923583984,0.7998054027557373,4.506111145019531e-05,0,0,1
0.7785162925720215,0.12143182754516602,0.0008313655853271484,0.019603490829467773,0.7989511489868164,6.866455078125e-05,0,0,2
0.782642126083374,0.12653803825378418,0.0008857250213623047,0.019464731216430664,0.802992582321167,9.989738464355469e-05,0,0,2
0.7802698612213135,0.12399673461914062,0.0008471012115478516,0.019423484802246094,0.8005404472351074,6.318092346191406e-05,0,0,2
0.7998356819152832,0.12247753143310547,0.0009429454803466797,0.019388437271118164,0.820167064666748,6.365776062011719e-05,0,0,2
0.7963807582855225,0.12453675270080566,0.0009114742279052734,0.0194854736328125,0.8167777061462402,6.198883056640625e-05,0,0,2
0.818331241607666,0.00066375732421875,0.11114001274108887,0.022005796432495117,0.95147705078125,0.0079498291015625,0,0,3
0.7981090545654297,0.0006165504455566406,0.09556221961975098,0.019997835159301758,0.9136691093444824,0.007996320724487305,0,0,3
0.7878220081329346,0.0006055831909179688,0.09427213668823242,0.019704580307006836,0.9017987251281738,0.00844120979309082,0,0,3
0.8007233142852783,0.0006051063537597656,0.09481120109558105,0.01970958709716797,0.9152441024780273,0.007607221603393555,0,0,3
0.7765078544616699,0.0006246566772460938,0.09477710723876953,0.019570350646972656,0.8908553123474121,0.008000850677490234,0,0,3
0.7806310653686523,0.07251715660095215,0.09439325332641602,0.019687175750732422,0.8947114944458008,0.007926225662231445,0,0,4
0.777393102645874,0.08293771743774414,0.09526252746582031,0.019750356674194336,0.8924059867858887,0.007920026779174805,0,0,4
0.7800328731536865,0.07482099533081055,0.09462165832519531,0.019942760467529297,0.8945972919464111,0.0077702999114990234,0,0,4
0.7816133499145508,0.09291815757751465,0.09473419189453125,0.019970417022705078,0.8963179588317871,0.007864236831665039,0,0,4
0.7760086059570312,0.0901482105255127,0.09476304054260254,0.019712209701538086,0.8904838562011719,0.007790327072143555,0,0,4
